datetime,sensor,no2,o3,pm10,pm25,no
2019-01-02T05:00:00+01:00,3642.5,,,6.9,7.1,
2019-01-02T06:00:00+01:00,3642.5,,,6.45,6.1,
2019-01-02T07:00:00+01:00,3642.5,,,5.55,6.4,
2019-01-02T08:00:00+01:00,3642.5,,,6.95,7.3,
2019-01-02T09:00:00+01:00,3642.5,,,6.65,5.7,
2019-01-02T10:00:00+01:00,3642.5,,,5.25,5.2,
2019-01-02T11:00:00+01:00,3642.5,,,7.1,4.7,
2019-01-02T12:00:00+01:00,3642.5,,,9.2,4.9,
2019-01-02T13:00:00+01:00,3642.5,,,10.4,6.0,
2019-01-02T14:00:00+01:00,3642.5,,,10.85,5.8,
2019-01-02T15:00:00+01:00,3642.5,,,10.75,5.6,
2019-01-02T16:00:00+01:00,3642.5,,,11.25,5.7,
2019-01-02T17:00:00+01:00,3642.5,,,11.6,6.4,
2019-01-02T18:00:00+01:00,3642.5,,,12.3,7.4,
2019-01-02T19:00:00+01:00,3642.5,,,12.55,7.8,
2019-01-02T20:00:00+01:00,3642.5,,,12.45,8.5,
2019-01-02T21:00:00+01:00,3642.5,,,11.6,7.9,
2019-01-02T22:00:00+01:00,3642.5,,,12.05,8.2,
2019-01-02T23:00:00+01:00,3642.5,,,12.399999999999999,8.2,
2019-01-03T00:00:00+01:00,3642.5,,,12.75,8.7,
2019-01-03T01:00:00+01:00,3327.0,8.7,58.2,13.233333333333334,7.65,
2019-01-03T02:00:00+01:00,3327.0,7.2,57.3,13.933333333333332,8.25,
2019-01-03T03:00:00+01:00,3327.0,6.2,56.2,14.033333333333333,8.5,
2019-01-03T04:00:00+01:00,3327.0,5.9,55.8,14.066666666666668,9.149999999999999,
2019-01-03T05:00:00+01:00,3327.0,5.9,55.5,13.766666666666666,9.600000000000001,
2019-01-03T06:00:00+01:00,3327.0,7.5,53.5,13.4,9.5,
2019-01-03T07:00:00+01:00,3327.0,10.6,49.6,13.533333333333333,9.95,
2019-01-03T08:00:00+01:00,3327.0,13.0,47.7,14.566666666666668,10.35,
2019-01-03T09:00:00+01:00,3327.0,16.4,46.5,14.4,10.1,
2019-01-03T10:00:00+01:00,3327.0,15.2,52.9,15.566666666666668,11.0,
2019-01-03T11:00:00+01:00,3327.0,16.2,53.7,15.366666666666667,9.899999999999999,
2019-01-03T12:00:00+01:00,3327.0,12.3,61.5,14.166666666666666,9.0,
