datetime,sensor,pm25,temperature,pm1,pm10,relativehumidity,um003,co,no2,o3,so2
2019-01-01T13:00:00+01:00,9590,8.34755,,,8.91175,,,186.45,7.8781,46.78895,0.56405
2019-01-01T14:00:00+01:00,9590,6.34795,,,6.8885,,,188.95,7.4168,50.06155,0.55405
2019-01-01T15:00:00+01:00,9590,7.3306,,,8.13745,,,192,11.4712,42.0426,0.58335
2019-01-01T16:00:00+01:00,9590,10.1769,,,11.19085,,,203.65,14.17405,36.82095,0.5834
2019-01-01T17:00:00+01:00,9590,6.677,,,7.5131,,,222.65,16.6006,32.68175,0.6264
2019-01-01T18:00:00+01:00,9590,4.94705,,,5.77905,,,215.8,13.3604,41.709,0.5906
2019-01-01T19:00:00+01:00,9590,3.7395,,,4.60485,,,178.2,10.269,53.2604,0.55345
2019-01-01T20:00:00+01:00,9590,2.0295,,,2.46445,,,172.15,8.32635,54.6037,0.4618
2019-01-01T21:00:00+01:00,9590,2.0256,,,2.53225,,,188.25,9.3704,52.36135,0.5015
2019-01-01T22:00:00+01:00,9590,2.38485,,,2.84485,,,178.6,8.6016,50.09515,0.51785
2019-01-01T23:00:00+01:00,9590,3.6742,,,4.22775,,,183.8,7.1888,48.543,0.51365
2019-01-02T00:00:00+01:00,9590,3.5857,,,3.9999,,,181.95,7.4388,47.20135,0.46385
2019-01-02T01:00:00+01:00,9590,3.60965,,,4.11005,,,180.55,6.8936,46.8272,0.4443
2019-01-02T02:00:00+01:00,9590,3.8426,,,4.17185,,,176,6.102,48.0338,0.42965
2019-01-02T03:00:00+01:00,9590,3.30245,,,3.6617,,,169.7,6.1774,48.98495,0.42575
2019-01-02T04:00:00+01:00,9590,3.17615,,,3.73265,,,169.2,6.8353,46.6598,0.40665
2019-01-02T05:00:00+01:00,9590,3.1749,,,3.83175,,,168.35,9.83915,47.2638,0.5151
2019-01-02T06:00:00+01:00,9590,2.0337,,,2.89115,,,164.8,12.0662,51.06565,0.50965
2019-01-02T07:00:00+01:00,9590,2.2659,,,3.4976,,,157.35,9.27255,63.44415,0.55235
2019-01-02T08:00:00+01:00,9590,2.91345,,,5.43005,,,167.2,15.20345,61.6979,0.6993
2019-01-02T09:00:00+01:00,9590,3.38405,,,6.2783,,,173.65,17.3512,60.7932,0.84685
2019-01-02T10:00:00+01:00,9590,3.5369,,,6.13405,,,169.65,18.6215,60.14775,0.9484
2019-01-02T11:00:00+01:00,9590,3.8453,,,6.9822,,,173.4,15.02755,63.8818,0.86135
2019-01-02T12:00:00+01:00,9590,4.5843,,,8.83945,,,170.55,11.39465,67.9643,0.73865
2019-01-02T13:00:00+01:00,9590,4.8941,,,9.2542,,,170.35,9.73425,68.9693,0.6383
2019-01-02T14:00:00+01:00,9590,5.04955,,,9.24635,,,175.2,11.3468,66.07075,0.8627
2019-01-02T15:00:00+01:00,9590,5.17965,,,9.3888,,,182.3,14.9191,61.41615,0.81475
2019-01-02T16:00:00+01:00,9590,5.523,,,9.4968,,,189.1,16.523,58.88825,0.82075
2019-01-02T17:00:00+01:00,9590,5.767,,,9.6482,,,200.25,19.2055,54.5065,0.75165
2019-01-02T18:00:00+01:00,9590,5.67685,,,9.3497,,,203.9,21.60265,51.94655,0.80715
2019-01-02T19:00:00+01:00,9590,5.4342,,,8.5901,,,222.3,31.60955,41.31,0.7816
2019-01-02T20:00:00+01:00,9590,6.24175,,,9.33325,,,249.1,38.7729,33.03955,1.2063
2019-01-02T21:00:00+01:00,9590,3.65155,,,5.4766,,,219.75,17.9716,56.33415,0.65455
2019-01-02T22:00:00+01:00,9590,4.6772,,,8.73265,,,235.7,38.4805,35.35525,0.701
2019-01-02T23:00:00+01:00,9590,6.2284,,,13.17855,,,252.75,42.9762,27.4303,0.82135
2019-01-03T00:00:00+01:00,9590,6.9296,,,13.28725,,,267.65,45.68005,18.42855,0.90815
2019-01-03T01:00:00+01:00,9590,6.2442,,,9.6201,,,255.2,40.1406,19.0547,1.1016
2019-01-03T02:00:00+01:00,9590,6.04745,,,8.8576,,,255.15,39.72535,14.0269,1.28025
2019-01-03T03:00:00+01:00,9590,6.0129,,,8.88405,,,266.65,43.6965,6.751,1.5295
2019-01-03T04:00:00+01:00,9590,5.94935,,,8.47875,,,253.75,39.2526,9.50965,1.80755
2019-01-03T05:00:00+01:00,9590,6.05115,,,8.2985,,,276.7,41.31035,6.6378,1.8879
2019-01-03T06:00:00+01:00,9590,7.01125,,,9.7481,,,290.9,46.53935,1.4647,2.4203
2019-01-03T07:00:00+01:00,9590,9.08025,,,11.06735,,,283.65,45.4952,1.32305,1.8641
2019-01-03T08:00:00+01:00,9590,7.763,,,9.6247,,,289.95,48.89,0.99925,1.88045
2019-01-03T09:00:00+01:00,9590,10.0346,,,12.4002,,,354.5,50.4478,2.31235,2.39985
2019-01-03T10:00:00+01:00,9590,10.3805,,,12.71255,,,342.15,46.11675,8.98805,2.7758
2019-01-03T11:00:00+01:00,9590,10.24905,,,13.06305,,,333.7,44.60055,12.4885,2.94925
